track_id,path,genre
BigRoom001__afrojack_amba_shepherd_ravitez_the_great_escape_feat_amba_shepherd_extended_mix,/scratch/mk9649/datasets/beatsdataset_yt/BigRoom/BigRoom001__afrojack_amba_shepherd_ravitez_the_great_escape_feat_amba_shepherd_extended_mix.mp3,BigRoom
BigRoom002__alesso_take_my_breath_away_extended_mix,/scratch/mk9649/datasets/beatsdataset_yt/BigRoom/BigRoom002__alesso_take_my_breath_away_extended_mix.mp3,BigRoom
BigRoom003__alvaro_the_partysquad_kingdom_original_mix,/scratch/mk9649/datasets/beatsdataset_yt/BigRoom/BigRoom003__alvaro_the_partysquad_kingdom_original_mix.mp3,BigRoom
BigRoom004__arman_aydin_arem_ozguc_mafia_original_mix,/scratch/mk9649/datasets/beatsdataset_yt/BigRoom/BigRoom004__arman_aydin_arem_ozguc_mafia_original_mix.mp3,BigRoom
BigRoom005__armin_van_buuren_angel_taylor_make_it_right_feat_angel_taylor_juicy_m_extended_remix,/scratch/mk9649/datasets/beatsdataset_yt/BigRoom/BigRoom005__armin_van_buuren_angel_taylor_make_it_right_feat_angel_taylor_juicy_m_extended_remix.mp3,BigRoom
BigRoom006__armin_van_buuren_angel_taylor_make_it_right_feat_angel_taylor_morgan_page_extended_remix,/scratch/mk9649/datasets/beatsdataset_yt/BigRoom/BigRoom006__armin_van_buuren_angel_taylor_make_it_right_feat_angel_taylor_morgan_page_extended_remix.mp3,BigRoom
BigRoom007__armin_van_buuren_human_resource_dominator_extended_mix,/scratch/mk9649/datasets/beatsdataset_yt/BigRoom/BigRoom007__armin_van_buuren_human_resource_dominator_extended_mix.mp3,BigRoom
BigRoom008__armin_van_buuren_human_resource_dominator_tom_staar_extended_remix,/scratch/mk9649/datasets/beatsdataset_yt/BigRoom/BigRoom008__armin_van_buuren_human_resource_dominator_tom_staar_extended_remix.mp3,BigRoom
BigRoom009__armin_van_buuren_human_resource_dominator_twiig_extended_remix,/scratch/mk9649/datasets/beatsdataset_yt/BigRoom/BigRoom009__armin_van_buuren_human_resource_dominator_twiig_extended_remix.mp3,BigRoom
BigRoom010__asco_mooseca_original_mix,/scratch/mk9649/datasets/beatsdataset_yt/BigRoom/BigRoom010__asco_mooseca_original_mix.mp3,BigRoom
BigRoom011__axwell_ingrosso_thinking_about_you_dubvision_extended_mix,/scratch/mk9649/datasets/beatsdataset_yt/BigRoom/BigRoom011__axwell_ingrosso_thinking_about_you_dubvision_extended_mix.mp3,BigRoom
BigRoom012__axwell_shapov_belong_axwell_years_remode,/scratch/mk9649/datasets/beatsdataset_yt/BigRoom/BigRoom012__axwell_shapov_belong_axwell_years_remode.mp3,BigRoom
